tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
255.00;403882374_1;0.20;6.61;35.00;0.40;95742114_0;5.10;0.00;tripinfo_30;220.00;30;0;3014.00;1.12;0.00;20.64;DEFAULT_VEHTYPE;;0;0.00
259.00;-17670100#4_0;87.81;7.42;59.00;0.20;1167764376_0;5.10;0.00;tripinfo_65;200.00;65;0;1256.31;1.03;0.00;52.62;DEFAULT_VEHTYPE;;1;30.00
260.00;-239757874#3_0;8.75;7.91;20.00;0.84;8140188#3_0;5.10;0.00;tripinfo_3;240.00;3;0;1771.67;1.01;0.00;26.92;DEFAULT_VEHTYPE;;1;1.00
260.00;14471542#9_0;68.00;8.34;139.00;0.72;403882374_0;0.20;0.00;tripinfo_174;121.00;174;0;509.20;1.00;0.00;61.43;DEFAULT_VEHTYPE;;2;44.00
262.00;687383599#0_1;12.56;13.75;136.00;0.92;606127854#0_0;5.10;0.00;tripinfo_164;126.00;164;1;1133.26;1.05;0.00;12.21;DEFAULT_VEHTYPE;;0;0.00
263.00;8384893#0_0;79.02;9.63;50.00;0.12;175206104_0;5.10;0.00;tripinfo_54;213.00;54;0;1471.40;1.22;0.00;66.97;DEFAULT_VEHTYPE;;2;32.00
264.00;1083809476#0_0;72.33;8.20;72.00;0.60;150275991#0_0;5.10;0.00;tripinfo_95;192.00;95;0;1566.54;1.06;0.00;20.01;DEFAULT_VEHTYPE;;0;0.00
267.00;150275991#0_0;27.02;7.75;165.00;0.20;-30324793_0;5.10;0.00;tripinfo_215;102.00;215;0;593.73;0.98;0.00;27.99;DEFAULT_VEHTYPE;;1;16.00
268.00;150276015#0_0;157.00;8.09;143.00;0.12;-30324793_0;5.10;0.00;tripinfo_179;125.00;179;0;844.45;1.00;0.00;22.84;DEFAULT_VEHTYPE;;1;7.00
269.00;124862963#0_0;89.92;12.84;160.00;0.12;400961599#0_0;5.10;0.00;tripinfo_204;109.00;204;0;756.34;0.93;0.00;32.34;DEFAULT_VEHTYPE;;2;9.00
270.00;137238867#2_0;12.16;8.58;27.00;0.72;400961625#0_0;5.10;0.00;tripinfo_24;243.00;24;0;2685.54;1.07;0.00;37.86;DEFAULT_VEHTYPE;;1;13.00
271.00;1263954924_0;0.20;6.77;68.00;0.76;150275971_0;5.10;0.00;tripinfo_92;203.00;92;1;1636.49;1.12;0.00;25.59;DEFAULT_VEHTYPE;;0;0.00
271.00;-4318228#2_0;265.98;9.97;184.00;0.96;27882429#0_0;5.10;0.00;tripinfo_232;87.00;232;0;780.65;1.22;0.00;9.62;DEFAULT_VEHTYPE;;0;0.00
273.00;-654207127#8_0;14.24;1.64;94.00;0.56;220267105#0_0;5.10;0.00;tripinfo_102;179.00;102;0;578.41;0.91;0.00;40.38;DEFAULT_VEHTYPE;;0;0.00
273.00;121794827_0;64.57;1.71;190.00;0.40;-654207127#8_0;5.10;0.00;tripinfo_255;83.00;255;0;173.72;1.03;0.00;22.39;DEFAULT_VEHTYPE;;1;1.00
277.00;-1156329250_0;1.26;7.64;190.00;0.20;14471542#12_0;5.10;0.00;tripinfo_240;87.00;240;0;829.06;0.92;0.00;9.22;DEFAULT_VEHTYPE;;0;0.00
278.00;107118812_0;114.11;8.17;168.00;0.12;400062404_0;3.59;0.00;tripinfo_229;110.00;229;0;724.05;1.01;0.00;11.60;DEFAULT_VEHTYPE;;0;0.00
282.00;1053478469#0_0;44.41;9.39;127.00;2.20;62020112#1_0;5.10;0.00;tripinfo_165;155.00;165;0;1844.71;1.17;0.00;21.57;DEFAULT_VEHTYPE;;1;3.00
282.00;31445160#1_0;115.52;8.51;151.00;0.44;150276013#0_0;5.10;0.00;tripinfo_198;131.00;198;0;965.82;1.04;0.00;17.09;DEFAULT_VEHTYPE;;1;1.00
286.00;-803266531#0_0;16.68;9.02;57.00;0.56;-31519076#1_0;5.10;0.00;tripinfo_77;229.00;77;0;1450.44;1.16;0.00;53.71;DEFAULT_VEHTYPE;;1;7.00
286.00;17670100#2_0;87.92;8.34;187.00;0.84;-40493501#3_0;5.10;0.00;tripinfo_253;99.00;253;0;763.35;1.09;0.00;12.44;DEFAULT_VEHTYPE;;0;0.00
287.00;31519076#2_0;4.21;4.62;193.00;0.96;4730647#3_0;5.10;0.00;tripinfo_257;94.00;257;1;541.16;0.87;0.00;11.15;DEFAULT_VEHTYPE;;0;0.00
288.00;-4426076#2_0;56.03;8.15;108.00;0.68;13853659#0_0;5.10;0.00;tripinfo_131;180.00;131;0;1255.44;1.08;0.00;30.02;DEFAULT_VEHTYPE;;1;1.00
288.00;-36786445#2_0;6.19;9.67;191.00;0.24;-8382447#4_0;5.10;0.00;tripinfo_258;97.00;258;1;531.13;1.19;0.00;43.58;DEFAULT_VEHTYPE;;1;29.00
289.00;403882373_0;13.29;8.80;60.00;0.24;1150906866_0;5.10;0.00;tripinfo_58;229.00;58;1;1371.40;1.10;0.00;53.11;DEFAULT_VEHTYPE;;1;4.00
293.00;628755546#0_0;1.71;6.09;16.00;0.68;-1267194155#2_0;5.10;0.00;tripinfo_6;277.00;6;1;2767.34;0.92;0.00;37.95;DEFAULT_VEHTYPE;;1;5.00
295.00;628755546#0_0;1.48;7.64;58.00;0.28;159636083#2_0;0.20;0.00;tripinfo_76;237.00;76;1;2304.19;0.98;0.00;27.85;DEFAULT_VEHTYPE;;0;0.00
296.00;-31431101#5_0;17.82;7.14;126.00;0.48;524150338#0_0;5.10;0.00;tripinfo_166;170.00;166;0;1044.23;0.91;0.00;31.51;DEFAULT_VEHTYPE;;1;13.00
297.00;36801004#0_0;94.58;14.90;38.00;0.56;40493418_0;5.10;0.00;tripinfo_27;259.00;27;1;1606.33;1.13;0.00;67.06;DEFAULT_VEHTYPE;;2;12.00
298.00;1156337042_0;36.83;9.11;150.00;0.76;150275971_0;5.10;0.00;tripinfo_192;148.00;192;0;1103.48;1.22;0.00;38.17;DEFAULT_VEHTYPE;;0;0.00
299.00;31431544#4_0;16.75;7.07;15.00;0.32;65583365#0_0;5.10;0.00;tripinfo_19;284.00;19;0;1806.72;0.88;0.00;35.49;DEFAULT_VEHTYPE;;1;4.00
299.00;31449007_0;69.16;8.53;89.00;0.36;-150276003#2_0;5.10;0.00;tripinfo_112;210.00;112;1;1541.48;1.09;0.00;32.04;DEFAULT_VEHTYPE;;2;5.00
300.00;47446166_0;14.44;7.84;199.00;1.36;40493501#4_0;5.10;0.00;tripinfo_262;101.00;262;0;718.16;1.04;0.00;17.50;DEFAULT_VEHTYPE;;1;3.00
302.00;65583364_0;49.29;6.77;76.00;0.16;16233735#0_0;5.10;0.00;tripinfo_97;226.00;97;0;1417.13;0.92;0.00;35.18;DEFAULT_VEHTYPE;;2;8.00
303.00;1083809476#0_0;72.33;7.39;123.00;0.32;150275992#0_0;5.10;0.00;tripinfo_144;180.00;144;0;1292.50;0.95;0.00;23.04;DEFAULT_VEHTYPE;;0;0.00
303.00;49845715#0_0;122.60;8.18;111.00;0.60;-1080960154#1_0;5.10;0.00;tripinfo_145;192.00;145;0;1228.64;1.11;0.00;34.35;DEFAULT_VEHTYPE;;2;4.00
303.00;4726706#5_0;34.15;8.34;137.00;0.24;-8385415#0_0;0.20;0.00;tripinfo_183;166.00;183;0;1435.91;1.12;0.00;15.37;DEFAULT_VEHTYPE;;0;0.00
304.00;15089551_0;44.47;8.19;220.00;0.80;4726679#0_0;5.10;0.00;tripinfo_285;84.00;285;0;632.10;1.03;0.00;8.85;DEFAULT_VEHTYPE;;0;0.00
305.00;180156396#0_0;47.64;7.12;76.00;0.92;150275992#0_0;5.10;0.00;tripinfo_89;229.00;89;0;2072.36;0.97;0.00;18.31;DEFAULT_VEHTYPE;;0;0.00
306.00;945224009_0;20.88;7.24;162.00;0.60;4312572#0_0;5.10;0.00;tripinfo_220;144.00;220;0;1557.78;1.15;0.00;19.86;DEFAULT_VEHTYPE;;0;0.00
311.00;433333438#0_0;23.51;6.35;144.00;0.08;4730633#0_0;5.10;0.00;tripinfo_186;167.00;186;0;945.65;0.78;0.00;26.95;DEFAULT_VEHTYPE;;1;5.00
312.00;393494867_0;123.28;13.27;18.00;0.04;628755547#0_0;5.10;0.00;tripinfo_18;294.00;18;0;2399.95;1.01;0.00;38.91;DEFAULT_VEHTYPE;;1;8.00
312.00;-244422544#1_0;4.24;7.83;273.00;0.24;-14362916#1_0;5.10;0.00;tripinfo_358;39.00;358;1;130.93;0.99;0.00;23.09;DEFAULT_VEHTYPE;;1;16.00
314.00;231483312_0;63.73;8.05;15.00;0.40;-781650841_0;5.10;0.00;tripinfo_5;299.00;5;0;1915.34;0.99;0.00;48.59;DEFAULT_VEHTYPE;;2;3.00
314.00;220267104#0_0;40.87;6.59;62.00;0.76;-237344387_0;5.10;0.00;tripinfo_67;252.00;67;0;1615.40;0.93;0.00;29.77;DEFAULT_VEHTYPE;;1;1.00
314.00;31431101#0_0;119.21;6.72;62.00;0.80;8382365#0_0;5.10;0.00;tripinfo_85;252.00;85;0;1620.21;0.88;0.00;29.51;DEFAULT_VEHTYPE;;1;3.00
315.00;-40598675#2_0;91.86;7.29;62.00;0.52;-70724346#3_0;5.10;0.00;tripinfo_84;253.00;84;0;1737.29;0.92;0.00;24.89;DEFAULT_VEHTYPE;;0;0.00
317.00;-960773147_0;10.49;2.69;39.00;0.20;31411680#0_0;5.10;0.00;tripinfo_40;278.00;40;0;2253.09;1.16;0.00;36.29;DEFAULT_VEHTYPE;;0;0.00
