interval_begin;interval_end;interval_id;edge_arrived;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_left;edge_sampledSeconds
0.00;3600.00;0_to_3600;0;0;0;-4318240#0;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-4318240#1;0;0;0;0.00
0.00;3600.00;0_to_3600;5;2;23;-4318242#1;0;0;20;341.43
0.00;3600.00;0_to_3600;0;16;16;-433333438#1;16;16;32;182.56
0.00;3600.00;0_to_3600;14;0;20;-434361017#1;0;0;6;155.44
0.00;3600.00;0_to_3600;13;0;13;-43963512#1;0;0;0;97.86
0.00;3600.00;0_to_3600;11;0;11;-4426074#1;0;0;0;457.58
0.00;3600.00;0_to_3600;7;0;7;-4426075#1;0;0;0;221.62
0.00;3600.00;0_to_3600;13;0;19;-4426076#0;0;0;6;94.77
0.00;3600.00;0_to_3600;3;4;18;-4426076#2;0;0;19;184.20
0.00;3600.00;0_to_3600;1;5;97;-450925440;0;0;101;637.80
0.00;3600.00;0_to_3600;2;6;23;-47027406;0;0;27;57.48
0.00;3600.00;0_to_3600;3;6;394;-47027743#2;0;0;389;8598.21
0.00;3600.00;0_to_3600;2;2;15;-47027857#1;0;0;15;22.98
0.00;3600.00;0_to_3600;5;6;27;-4726710#0;0;0;28;271.44
0.00;3600.00;0_to_3600;0;14;13;-4726710#1;0;0;27;85.36
0.00;3600.00;0_to_3600;1;3;49;-4726711#0;0;0;51;923.42
0.00;3600.00;0_to_3600;1;3;40;-4726711#1;0;0;42;540.85
0.00;3600.00;0_to_3600;4;4;13;-4730648#1;0;0;12;277.53
0.00;3600.00;0_to_3600;2;3;12;-4730648#2;0;0;13;97.35
0.00;3600.00;0_to_3600;0;12;1;-4730648#4;0;0;13;36.61
0.00;3600.00;0_to_3600;1;7;25;-47426239;0;0;31;464.52
0.00;3600.00;0_to_3600;4;3;163;-47426241#1;0;0;155;5380.06
0.00;3600.00;0_to_3600;2;6;190;-47426244#0;0;0;194;1709.80
0.00;3600.00;0_to_3600;3;6;187;-47426244#1;0;0;190;818.80
0.00;3600.00;0_to_3600;3;4;186;-47426244#2;0;0;187;1694.22
0.00;3600.00;0_to_3600;3;5;121;-47446166;0;0;121;1009.86
0.00;3600.00;0_to_3600;2;6;152;-4760584#1;0;0;145;7356.65
0.00;3600.00;0_to_3600;1;4;42;-47895849#0;0;0;45;409.05
0.00;3600.00;0_to_3600;1;3;40;-47895849#3;0;0;42;715.24
0.00;3600.00;0_to_3600;5;3;119;-47895849#4;0;0;117;1162.48
0.00;3600.00;0_to_3600;4;4;115;-47896065;0;0;115;1720.22
0.00;3600.00;0_to_3600;6;4;57;-47999870;0;0;55;465.08
0.00;3600.00;0_to_3600;4;7;7;-47999871;0;0;10;329.89
0.00;3600.00;0_to_3600;0;0;0;-480301021#1;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-480522772;0;0;0;0.00
0.00;3600.00;0_to_3600;0;14;0;-480937385;0;0;14;127.34
0.00;3600.00;0_to_3600;5;8;229;-507534348#1;0;0;231;1909.11
0.00;3600.00;0_to_3600;10;0;10;-510702675#4;0;0;0;133.97
0.00;3600.00;0_to_3600;3;5;53;-510702678#1;0;0;54;828.87
0.00;3600.00;0_to_3600;0;20;12;-523287556;0;0;32;91.60
0.00;3600.00;0_to_3600;4;0;17;-524150306#1;13;13;13;442.74
0.00;3600.00;0_to_3600;3;8;13;-524150311#0;0;0;17;52.24
0.00;3600.00;0_to_3600;5;4;14;-524150311#1;3;3;13;138.28
0.00;3600.00;0_to_3600;3;5;39;-524150320#2;5;5;41;322.43
0.00;3600.00;0_to_3600;3;6;147;-524150326;0;0;150;1087.51
0.00;3600.00;0_to_3600;3;5;150;-524150333#1;0;0;151;2551.91
0.00;3600.00;0_to_3600;3;3;153;-524150338#1;7;7;153;2981.09
0.00;3600.00;0_to_3600;4;7;153;-524150342;3;3;156;267.76
0.00;3600.00;0_to_3600;6;0;151;-524150347#1;0;0;144;1825.20
0.00;3600.00;0_to_3600;5;2;226;-5450857#1;0;0;223;2480.83
0.00;3600.00;0_to_3600;0;0;0;-5450858#1;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-5451797;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-5451917#2;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-555922918#4;0;0;0;0.00
0.00;3600.00;0_to_3600;0;9;81;-62020321;26;26;89;1452.90
0.00;3600.00;0_to_3600;8;3;218;-628755543;0;0;212;1706.44
0.00;3600.00;0_to_3600;2;3;367;-628755544#1;0;0;365;10516.30
0.00;3600.00;0_to_3600;2;3;366;-628755544#4;0;0;367;2787.03
0.00;3600.00;0_to_3600;2;2;347;-628755546#4;0;0;345;5070.23
0.00;3600.00;0_to_3600;0;2;10;-628755547#3;0;0;12;243.71
0.00;3600.00;0_to_3600;0;1;9;-628755547#6;0;0;10;95.27
0.00;3600.00;0_to_3600;4;6;177;-628757206#2;0;0;179;2694.17
0.00;3600.00;0_to_3600;3;8;41;-628762073#5;0;0;46;1467.58
0.00;3600.00;0_to_3600;0;14;0;-628762074#2;0;0;14;165.12
0.00;3600.00;0_to_3600;0;3;5;-628782530;0;0;8;54.03
0.00;3600.00;0_to_3600;5;2;36;-643081314#1;0;0;33;61.94
0.00;3600.00;0_to_3600;0;0;0;-644462282;0;0;0;0.00
